Warehouse_ID,Store_ID,Invoice No,Match Method,Label Damage, Damage,Returns Collected,DateTime arrived at store,DateTime Left store
1,4,6286,Manual,0,0,1,24/02/2020 10:29:00,24/02/2020 10:53:59
7,26,1401,Manual,1,1,1,02/01/2020 18:06:00,02/01/2020 18:50:55
2,1,3826,Scanned,1,1,1,28/01/2020 05:45:00,28/01/2020 06:39:41
6,50,7624,Scanned,0,0,0,24/03/2020 11:13:00,24/03/2020 11:38:14
7,41,9891,Scanned,0,1,0,05/01/2020 10:34:00,05/01/2020 11:29:15
8,31,1479,Manual,0,1,1,21/02/2020 06:05:00,21/02/2020 06:19:31
10,4,3418,Scanned,1,1,0,06/06/2020 01:32:00,06/06/2020 02:18:42
6,1,1867,Scanned,1,0,1,13/06/2020 11:38:00,13/06/2020 11:56:40
9,21,602,Scanned,0,0,1,04/01/2020 09:14:00,04/01/2020 10:12:17
8,49,1525,Manual,1,1,1,06/06/2020 22:16:00,06/06/2020 22:53:53
6,42,9244,Scanned,1,1,0,02/03/2020 20:49:00,02/03/2020 21:23:12
5,28,9008,Scanned,0,0,0,26/06/2020 23:38:00,27/06/2020 00:34:52
9,32,7810,Manual,0,0,1,03/06/2020 09:31:00,03/06/2020 09:42:04
3,6,6495,Manual,1,1,1,21/01/2020 15:06:00,21/01/2020 15:12:52
2,10,7044,Manual,1,0,0,22/03/2020 20:33:00,22/03/2020 21:28:44
10,10,9955,Scanned,1,1,1,13/05/2020 01:20:00,13/05/2020 01:34:18
7,35,4426,Scanned,0,0,1,03/01/2020 17:03:00,03/01/2020 17:54:50
1,12,781,Scanned,1,0,0,08/06/2020 18:12:00,08/06/2020 18:16:42
9,16,4288,Manual,0,0,1,18/01/2020 15:01:00,18/01/2020 15:47:40
5,45,423,Manual,1,0,0,18/01/2020 23:02:00,18/01/2020 23:40:00
5,43,8918,Manual,0,0,1,27/03/2020 16:10:00,27/03/2020 16:47:56
2,14,2098,Scanned,1,0,1,14/06/2020 17:05:00,14/06/2020 17:44:05
8,36,8452,Scanned,0,1,0,27/02/2020 18:44:00,27/02/2020 18:45:35
4,13,6102,Scanned,1,1,1,13/05/2020 23:45:00,14/05/2020 00:14:44
6,14,9849,Manual,1,0,0,17/01/2020 11:35:00,17/01/2020 12:13:24
3,33,7888,Manual,0,1,0,27/01/2020 08:18:00,27/01/2020 09:17:26
5,43,7807,Scanned,0,0,1,29/06/2020 04:39:00,29/06/2020 05:37:41
1,15,311,Manual,1,0,1,11/06/2020 23:40:00,12/06/2020 00:07:30
5,4,2895,Manual,1,0,0,13/06/2020 16:40:00,13/06/2020 17:10:39
10,43,4259,Manual,0,1,0,06/02/2020 21:32:00,06/02/2020 22:06:44
1,38,4701,Scanned,1,1,1,29/05/2020 15:57:00,29/05/2020 16:50:31
5,11,4145,Scanned,0,1,1,31/01/2020 14:03:00,31/01/2020 14:09:59
6,30,378,Scanned,0,1,1,08/05/2020 23:34:00,09/05/2020 00:12:37
2,29,7345,Scanned,0,0,1,04/03/2020 15:38:00,04/03/2020 16:09:16
8,50,1320,Manual,1,1,1,08/04/2020 14:32:00,08/04/2020 14:38:17
10,33,9145,Scanned,0,1,0,29/01/2020 12:15:00,29/01/2020 12:45:20
5,6,3312,Scanned,0,1,1,30/05/2020 01:56:00,30/05/2020 02:39:34
5,44,7248,Manual,0,1,1,16/04/2020 23:46:00,16/04/2020 23:50:31
5,44,7996,Manual,0,0,0,16/04/2020 17:34:00,16/04/2020 18:01:21
5,48,2447,Scanned,1,1,1,10/06/2020 21:20:00,10/06/2020 21:58:30
1,27,5913,Scanned,0,0,0,30/01/2020 15:34:00,30/01/2020 15:58:13
10,38,4432,Scanned,0,0,1,12/02/2020 13:14:00,12/02/2020 13:31:52
4,46,3979,Manual,1,0,1,03/05/2020 22:12:00,03/05/2020 22:24:22
4,47,4433,Manual,1,0,0,11/02/2020 18:28:00,11/02/2020 18:55:16
3,29,2658,Manual,0,0,1,03/03/2020 14:35:00,03/03/2020 15:32:11
9,49,8612,Manual,1,0,0,17/04/2020 02:27:00,17/04/2020 03:01:48
3,26,712,Scanned,1,0,0,18/04/2020 23:55:00,19/04/2020 00:46:33
4,34,8895,Manual,1,1,1,24/03/2020 01:23:00,24/03/2020 02:08:20
3,2,7774,Manual,0,1,0,13/03/2020 15:49:00,13/03/2020 15:55:31
1,47,199,Scanned,0,0,0,10/06/2020 02:17:00,10/06/2020 02:39:42
10,47,7609,Scanned,0,0,0,26/04/2020 16:13:00,26/04/2020 16:33:58
7,35,5700,Scanned,0,0,0,11/06/2020 16:36:00,11/06/2020 17:21:18
1,18,7319,Manual,1,1,0,01/02/2020 21:18:00,01/02/2020 21:38:55
1,4,4171,Manual,1,0,1,11/03/2020 20:38:00,11/03/2020 20:53:13
7,25,368,Scanned,1,0,1,05/06/2020 16:00:00,05/06/2020 16:49:17
7,19,5926,Scanned,0,0,0,16/01/2020 06:41:00,16/01/2020 07:40:08
4,26,3680,Manual,1,0,0,10/02/2020 20:33:00,10/02/2020 20:35:00
1,15,6494,Scanned,0,0,0,02/04/2020 00:13:00,02/04/2020 00:21:56
9,1,1700,Scanned,1,1,0,04/06/2020 13:46:00,04/06/2020 14:07:25
10,27,9529,Scanned,1,0,1,04/02/2020 19:47:00,04/02/2020 20:17:49
2,3,2607,Manual,0,1,0,01/02/2020 20:27:00,01/02/2020 21:22:45
5,38,3034,Manual,1,0,0,22/03/2020 12:49:00,22/03/2020 13:26:38
8,27,4651,Scanned,1,1,1,22/02/2020 21:24:00,22/02/2020 21:39:12
6,20,5495,Scanned,1,1,0,26/05/2020 01:55:00,26/05/2020 02:33:03
2,22,2755,Scanned,0,0,1,04/03/2020 00:06:00,04/03/2020 00:38:00
9,48,944,Scanned,0,1,0,08/04/2020 13:09:00,08/04/2020 13:29:39
1,13,8366,Scanned,1,0,0,19/03/2020 20:49:00,19/03/2020 21:40:32
4,34,4512,Manual,1,0,1,08/04/2020 08:09:00,08/04/2020 08:16:32
5,30,7711,Scanned,0,1,0,07/04/2020 12:47:00,07/04/2020 13:13:59
9,42,2585,Manual,1,1,0,30/01/2020 05:24:00,30/01/2020 05:27:07
10,38,6386,Scanned,1,1,1,14/01/2020 18:12:00,14/01/2020 18:22:47
9,48,4090,Scanned,1,1,0,23/03/2020 00:19:00,23/03/2020 00:38:53
9,39,530,Manual,1,1,1,13/02/2020 10:06:00,13/02/2020 10:42:24
7,25,1941,Manual,0,1,0,10/04/2020 12:30:00,10/04/2020 13:02:12
1,20,7408,Manual,1,0,0,03/05/2020 09:52:00,03/05/2020 10:32:54
9,19,6270,Manual,0,0,1,16/02/2020 21:30:00,16/02/2020 21:31:00
1,31,752,Scanned,1,1,1,19/05/2020 03:13:00,19/05/2020 03:47:26
8,41,3498,Scanned,1,1,1,29/02/2020 01:37:00,29/02/2020 02:01:20
10,7,8581,Scanned,0,0,0,02/01/2020 06:50:00,02/01/2020 07:30:59
1,26,7733,Manual,1,0,0,30/05/2020 19:14:00,30/05/2020 19:22:20
2,26,3943,Scanned,0,1,1,12/05/2020 18:35:00,12/05/2020 19:09:20
1,24,3673,Scanned,1,1,1,15/01/2020 03:10:00,15/01/2020 03:41:07
5,16,1274,Manual,0,0,1,27/04/2020 15:22:00,27/04/2020 15:55:48
3,25,2478,Scanned,0,0,1,18/05/2020 23:02:00,18/05/2020 23:34:25
5,5,3738,Scanned,1,1,0,15/03/2020 20:24:00,15/03/2020 20:47:44
9,18,4726,Manual,0,0,1,13/01/2020 07:00:00,13/01/2020 07:35:33
3,3,9376,Scanned,0,1,1,16/05/2020 00:17:00,16/05/2020 00:36:42
3,21,6973,Scanned,1,0,0,11/01/2020 01:31:00,11/01/2020 02:18:15
8,8,6342,Scanned,1,1,1,07/03/2020 07:13:00,07/03/2020 07:16:11
6,45,1113,Manual,0,1,1,15/04/2020 03:13:00,15/04/2020 03:17:35
2,27,59,Scanned,0,0,1,14/04/2020 02:55:00,14/04/2020 03:23:13
3,49,7825,Scanned,0,0,0,22/02/2020 22:24:00,22/02/2020 22:43:12
4,35,7593,Scanned,0,1,0,11/06/2020 21:23:00,11/06/2020 21:26:00
8,46,8482,Scanned,0,0,0,02/05/2020 01:46:00,02/05/2020 02:15:03
5,41,7075,Scanned,1,0,0,18/04/2020 00:24:00,18/04/2020 00:45:10
2,17,1899,Manual,0,0,0,06/06/2020 13:19:00,06/06/2020 14:09:26
5,12,2477,Scanned,1,0,0,28/01/2020 09:16:00,28/01/2020 09:32:38
3,34,5003,Scanned,0,1,1,29/03/2020 23:31:00,30/03/2020 00:27:03
1,37,6530,Manual,1,0,0,05/06/2020 17:19:00,05/06/2020 17:25:23
7,17,9027,Scanned,0,0,0,25/04/2020 22:46:00,25/04/2020 23:12:56
9,20,7151,Scanned,0,0,0,21/03/2020 18:47:00,21/03/2020 18:50:36
